Structure;Poste;Nom base français;Spécificité 1;Spécificité 2;Tags français;Unité français;Localisation géographique;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
élément non décomposé;Poste 9;Service;Produits agricoles et de la mer;/;biens et services,produits agricoles et de la mer,ratio monétaire;kgCO2e/keuro;France continentale;80;2300;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Produits chimiques;/;biens et services,produits chimiques,ratio monétaire;kgCO2e/keuro;France continentale;80;1600;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Produits informatiques, électroniques et optiques;/;biens et services,produits informatiques,ratio monétaire,électroniques et optiques;kgCO2e/keuro;France continentale;80;400;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Produits métalliques, sauf machines et équipements;/;biens et services,ratio monétaire,produits métalliques,sauf machines et équipements;kgCO2e/keuro;France continentale;80;600;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Produits pharmaceutiques;/;biens et services,produits pharmaceutiques,ratio monétaire;kgCO2e/keuro;France continentale;80;500;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Recherche et développement;/;biens et services,ratio monétaire,recherche et développement;kgCO2e/keuro;France continentale;80;250;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Réparation et installation de machines et d'équipements;/;biens et services,ratio monétaire,réparation et installation de machines et d'équipements;kgCO2e/keuro;France continentale;80;390;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Services : imprimerie, publicité, architecture et ingénierie, maintenance multi-technique des bâtimen;/;publicité,architecture et ingénierie,maintenance multi-technique des bâtiments,sécurité,biens et services,services : imprimerie,gardiennage,nettoyage,agence de voyage,autres services aux entreprises,ratio monétaire;kgCO2e/keuro;France continentale;80;170;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Télécommunications;/;biens et services,ratio monétaire,télécommunications;kgCO2e/keuro;France continentale;80;170;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Textile et habillement;/;biens et services,textile et habillement,ratio monétaire;kgCO2e/keuro;France continentale;80;600;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Transport aérien;/;biens et services,ratio monétaire,transport aérien;kgCO2e/keuro;France continentale;80;1190;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Transport fluvial et maritime;/;biens et services,transport fluvial et maritime,ratio monétaire;kgCO2e/keuro;France continentale;80;590;Achats de services ; Ratios monétaires;;;
élément non décomposé;Poste 9;Service;Transport terrestre;/;biens et services,transport terrestre,ratio monétaire;kgCO2e/keuro;France continentale;80;560;Achats de services ; Ratios monétaires;;;
élément décomposé par poste;Poste 10;Smartphone;classique;;informatique,Smartphone,téléphone,numérique;kgCO2e/unité;France continentale;50;16,5;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Smartphone;de 5 pouces;;informatique,Smartphone,téléphone,numérique;kgCO2e/unité;France continentale;50;32,8;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Smartphone;de moins de 4,5 pouces;;informatique,Smartphone,téléphone,numérique;kgCO2e/unité;France continentale;50;27,6;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Smartphone;de plus de 5,5 pouces;;informatique,Smartphone,téléphone,numérique;kgCO2e/unité;France continentale;50;39,1;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 9;Sol traité liant routier;/;/;matériaux de construction,route,enrobés routiers;kgCO2e/tonne;France continentale;20;13,6;Achats de biens ; Produits minéraux non métalliques ; Enrobés pour la route;;
élément non décomposé;Poste 9;Sol, carreaux de plâtre;/;/;matériaux de construction,sol,Plâtre;kgCO2e/m² de paroi;France continentale;10;15,3;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément non décomposé;Poste 9;Sol, revêtement PVC homogène;/;/;matériaux de construction,sol,PVC;kgCO2e/m² de sol;France continentale;10;5,55;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément décomposé par gaz;Poste 9;Solution azotée;/;/;engrais,fertilisant,solution azotée;kgCO2e/tonne de N;Europe;30;4727;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par poste et par gaz;Poste 10;Sommier;à lattes fixes;;mobilier,equipement,Sommier,à lattes fixes;kgCO2e/unité;France continentale;30;44,2;Achats de biens ; Mobilier;;;
élément décomposé par poste et par gaz;Poste 10;Sommier;tapissier;;mobilier,equipement,Sommier,tapissier;kgCO2e/unité;France continentale;30;103;Achats de biens ; Mobilier;;;
élément non décomposé;Poste 9;Soude 50%;/;/;soude;kgCO2e/tonne;France continentale;50;587;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément non décomposé;Poste 9;Soude solide :poudre, granulés;/;/;soude;kgCO2e/tonne;France continentale;100;458;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément décomposé par poste;Poste 10;Stéréo;classique;;informatique,Stéréo,classique;kgCO2e/unité;France continentale;50;123;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 9;Sulfate d'ammonium;/;/;viticulture,sulfate d'ammonium;kgCO2e/tonne;France continentale;50;733;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 9;Sulfate de sodium;/;/;sulfate de sodium;kgCO2e/tonne;France continentale;100;473;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément non décomposé;Poste 9;Sulfochaux;/;/;viticulture,sulfochaux;kgCO2e/tonne;France continentale;50;367;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 9;Sulfosol;/;/;viticulture,sulfosol;kgCO2e/tonne;France continentale;50;3670;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 10;Switch routeur firewall;;;informatique,routeur firewall;kgCO2e/kg;Monde;30;80,7;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste et par gaz;Poste 10;Table;bois massif;;mobilier,equipement,Table,bois massif;kgCO2e/unité;France continentale;20;80,2;Achats de biens ; Mobilier;;;
élément décomposé par poste et par gaz;Poste 10;Table;représentative;;mobilier,equipement,Table,représentative;kgCO2e/unité;France continentale;20;60,1;Achats de biens ; Mobilier;;;
élément non décomposé;Poste 10;Tableau électrique;;;équipement électrique,tableau électrique;kgCO2e/appareil;Monde;50;680;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par poste;Poste 10;Tablette;classique;9 à 11 pouces;informatique,Tablette,bureautique,numérique;kgCO2e/unité;France continentale;50;63,2;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Tablette;détachable;;informatique,Tablette,bureautique,numérique;kgCO2e/unité;France continentale;50;82,2;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Tablette;mini;;informatique,Tablette,bureautique,numérique;kgCO2e/unité;France continentale;50;40,9;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 9;Tanins;/;/;viticulture,Tanins;kgCO2e/tonne;France continentale;50;2200;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément décomposé par poste et par gaz;Postes 13 et 23;Télécabine;2010;;transport de personne mécanique,télécabine;kgCO2e/km;France continentale;60;0,118;Transport de personnes ; Transport guidé;;;
élément décomposé par poste et par gaz;Postes 13 et 23;Télécabine;2010;;transport de personne mécanique,télécabine;kgCO2e/passager.km;France continentale;60;0,0295;Transport de personnes ; Transport guidé;;;
élément décomposé par poste;Poste 10;Télévision;30-40 pouces;;,equipement,Télévision,Audio visuel;kgCO2e/unité;France continentale;50;340;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Télévision;40-49 pouces;;,equipement,Télévision,Audio visuel;kgCO2e/unité;France continentale;50;371;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Télévision;49 pouces;;,equipement,Télévision,Audio visuel;kgCO2e/unité;France continentale;50;500;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Postes 13 et 23;TER;2018;Traction moyenne;train,TER;kgCO2e/passager.km;France continentale;60;0,0313;Transport de personnes ; Ferroviaire ; France continentale ; TER;
élément décomposé par poste;Postes 13 et 23;TER;2019;Traction moyenne;train,TER;kgCO2e/passager.km;France continentale;60;0,0296;Transport de personnes ; Ferroviaire ; France continentale ; TER;
élément non décomposé;Poste 11;Textiles et linges de maison usagés;/;Fin de vie hors recyclage - Impacts;Textile,Déchet,Fin de vie moyenne,Linge;kgCO2e/tonne de déchets;France continentale;50;1382;Traitement des déchets ; Ménages et assimilés ; Textiles;;
élément non décomposé;Poste 11;Textiles et linges de maison usagés;/;Fin de vie moyenne filière - Impacts;Textile,Déchet,Fin de vie moyenne,Linge;kgCO2e/tonne de déchets;France continentale;50;500;Traitement des déchets ; Ménages et assimilés ; Textiles;;
élément décomposé par poste;Postes 13 et 23;TGV;2018;;train,TGV;kgCO2e/passager.km;France continentale;20;2,53E-03;Transport de personnes ; Ferroviaire ; France continentale ; TGV;
élément décomposé par poste;Postes 13 et 23;TGV;2019;;train,TGV;kgCO2e/passager.km;France continentale;20;2,36E-03;Transport de personnes ; Ferroviaire ; France continentale ; TGV;
élément décomposé par poste et par gaz;Poste 10;Tondeuse;electrique 1200 W;;equipement,jardin,Tondeuse,entretien;kgCO2e/unité;France continentale;50;70,1;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par poste et par gaz;Poste 10;Tondeuse;thermique 190 cm³;;equipement,jardin,Tondeuse,entretien;kgCO2e/unité;France continentale;50;209;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément non décomposé;Poste 9;Tourbe horticole Blonde;Extraction conventionnelle;/;Agriculture,Horticulture,Tourbe Horticole,Blonde,Terreau,Support de culture;kgCO2e/t;Europe;20;115;Achats de biens ; Minerais, granulats, tourbes ; Tourbes;;
élément non décomposé;Poste 9;Tourbe horticole Brune;Extraction conventionnelle;/;Brune,Agriculture,Horticulture,Tourbe Horticole,Terreau,Support de culture;kgCO2e/t;Europe;20;373;Achats de biens ; Minerais, granulats, tourbes ; Tourbes;;
élément non décomposé;Poste 9;Tourbe horticole Noire;Extraction conventionnelle;/;Noire,Agriculture,Horticulture,Tourbe Horticole,Terreau,Support de culture;kgCO2e/t;Europe;20;630;Achats de biens ; Minerais, granulats, tourbes ; Tourbes;;
élément décomposé par poste;Poste 12;Train;Motorisation moyenne;Chargement dense;train,fret;kgCO2e/t.km;France continentale;70;8,30E-03;Transport de marchandises ; Ferroviaire ; France continentale ; Moyen;
élément décomposé par poste;Poste 12;Train;Motorisation moyenne;Chargement léger;train,fret;kgCO2e/t.km;France continentale;70;0,0124;Transport de marchandises ; Ferroviaire ; France continentale ; Moyen;
élément décomposé par poste;Poste 12;Train;Motorisation moyenne;Chargement moyen;train,fret;kgCO2e/t.km;France continentale;70;9,59E-03;Transport de marchandises ; Ferroviaire ; France continentale ; Moyen;
élément décomposé par poste;Poste 12;Train;Traction diesel;Chargement dense;train,fret;kgCO2e/t.km;France continentale;70;0,0268;Transport de marchandises ; Ferroviaire ; France continentale ; Diesel;
élément décomposé par poste;Poste 12;Train;Traction diesel;Chargement léger;train,fret;kgCO2e/t.km;France continentale;70;0,0399;Transport de marchandises ; Ferroviaire ; France continentale ; Diesel;
élément décomposé par poste;Poste 12;Train;Traction diesel;Chargement moyen;train,fret;kgCO2e/t.km;France continentale;70;0,031;Transport de marchandises ; Ferroviaire ; France continentale ; Diesel;
élément décomposé par poste;Poste 12;Train;Traction électrique;Chargement dense;train,fret;kgCO2e/t.km;France continentale;70;3,67E-03;Transport de marchandises ; Ferroviaire ; France continentale ; Electrique;
élément décomposé par poste;Poste 12;Train;Traction électrique;Chargement léger;train,fret;kgCO2e/t.km;France continentale;70;5,50E-03;Transport de marchandises ; Ferroviaire ; France continentale ; Electrique;
élément décomposé par poste;Poste 12;Train;Traction électrique;Chargement moyen;train,fret;kgCO2e/t.km;France continentale;70;4,24E-03;Transport de marchandises ; Ferroviaire ; France continentale ; Electrique;
élément décomposé par gaz;Poste 12;Train de marchandises;;;fret ferré,train;kgCO2e/tonne.km;Europe;50;0,0226;Transport de marchandises ; Ferroviaire ; Autres pays du monde;;
élément décomposé par poste;Postes 13 et 23;Train grandes lignes;2018;;train;kgCO2e/passager.km;France continentale;20;6,33E-03;Transport de personnes ; Ferroviaire ; France continentale ; Trains grandes lignes;
élément décomposé par poste;Postes 13 et 23;Train grandes lignes;2019;;train;kgCO2e/passager.km;France continentale;20;5,92E-03;Transport de personnes ; Ferroviaire ; France continentale ; Trains grandes lignes;
élément décomposé par poste;Poste 11;Traitement des eaux usées;/;Hors infrastructure;eaux usées,Eau,eau potable,eau de reseau;kgCO2e/m3;France continentale;20;0,262;Traitement des déchets ; Eaux usées;;;
élément décomposé par poste;Postes 13 et 23;Tramway;2018;Ile de France;tramway;kgCO2e/passager.km;France continentale;20;2,78E-03;Transport de personnes ; Ferroviaire ; France continentale ; Métro, tramway, RER, transilien :Ile de France;
élément décomposé par poste;Postes 13 et 23;Tramway;2019;Ile de France;tramway;kgCO2e/passager.km;France continentale;20;2,68E-03;Transport de personnes ; Ferroviaire ; France continentale ; Métro, tramway, RER, transilien :Ile de France;
élément décomposé par poste;Poste 9;Transport d'hydrogène à 200 bars;/;/;transport,hydrogène,H2;kgCO2e/kgH2/100km;France continentale;30;1,12;Achats de biens ; Hydrogène ; Distribution en station;;
élément décomposé par poste;Poste 9;Transport d'hydrogène à 200 bars;/;/;transport,hydrogène,H2;kgCO2e/kgH2/100km;France continentale;30;1,12;Achats de biens ; Hydrogène ; Production d'hydrogène;;
élément décomposé par gaz;Poste 9;Trisuperphosphate :TSP;/;/;engrais,fertilisant,trisuperphosphate :TSP;kgCO2e/tonne de P2O5;Europe;30;1350;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par poste et par gaz;Poste 9;Trottinette;électrique;/;equipement,trotinnette;kgCO2e/unité;France continentale;50;92;Achats de biens ; Véhicules automobiles et autres matériels de transport;;;
élément décomposé par poste;Postes 13 et 23;trottinette;électrique;;transport,trotinnette,deux roue;kgCO2e/km;France continentale;50;0,0249;Transport de personnes ; Routier ; Deux roues;;
élément non décomposé;Poste 9;Tuile béton;/;/;matériaux de construction,béton,tuile;kgCO2e/m² de toiture;France continentale;10;9,7;Achats de biens ; Produits minéraux non métalliques ; Matériaux de construction;;
élément décomposé par gaz;Poste 9;Urée;/;/;engrais,fertilisant,urée;kgCO2e/tonne de N;Europe;30;4253;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par poste;Poste 12;Utilitaire <3,5t;;Hydrogène électrolyse décentralisée mix EnR;véhicule,hydrogène,H2,électrolyse,utilitaire;kgCO2e/km;France continentale;50;0,082;Transport de marchandises ; Routier ; Par catégorie ; VUL par motorisation;
élément décomposé par poste;Poste 12;Utilitaire <3,5t;;Hydrogène électrolyse décentralisée mix France;utilitaire,véhicule,hydrogène,H2,électrolyse;kgCO2e/km;France continentale;50;0,091;Transport de marchandises ; Routier ; Par catégorie ; VUL par motorisation;
élément décomposé par poste;Poste 12;Utilitaire <3,5t;;Hydrogène électrolyse décentralisée UE;utilitaire,véhicule,hydrogène,H2,électrolyse;kgCO2e/km;Europe;70;0,311;Transport de marchandises ; Routier ; Par catégorie ; VUL par motorisation;
élément décomposé par poste;Poste 12;Utilitaire <3,5t;;Hydrogène SMR biométhane centralisé;utilitaire,véhicule,Biométhane,hydrogène,H2,SMR;kgCO2e/km;France continentale;50;0,138;Transport de marchandises ; Routier ; Par catégorie ; VUL par motorisation;
élément décomposé par poste;Poste 12;Utilitaire <3,5t;;Hydrogène SMR gaz naturel centralisé;utilitaire,gaz naturel,véhicule,hydrogène,H2,SMR;kgCO2e/km;France continentale;50;0,235;Transport de marchandises ; Routier ; Par catégorie ; VUL par motorisation;
élément non décomposé;Poste 10;Variateur électrique;;;équipement électrique,variateur;kgCO2e/tonne;Monde;30;36837;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément non décomposé;Poste 9;Véhicules;/;fabrication;véhicule;kgCO2e/tonne;France continentale;50;5500;Achats de biens ; Véhicules automobiles et autres matériels de transport;;;
élément décomposé par poste et par gaz;Poste 9;Vélo;à assistance électrique;/;equipement,vélo;kgCO2e/unité;France continentale;50;261;Achats de biens ; Véhicules automobiles et autres matériels de transport;;;
élément décomposé par poste;Postes 13 et 23;Vélo;à assistance électrique;;transport,vélo,deux roue,bicyclette;kgCO2e/km;France continentale;50;0,011;Transport de personnes ; Routier ; Deux roues;;
élément décomposé par gaz;Poste 9;Vernis Acrylique;/;/;base IMPACT,peinture,vernis acrylique;kgCO2e/kg;Monde;;1,51;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Peintures et résines;
élément non décomposé;Poste 9;Verre;/;neuf;Verre,verre d'emballage,verre creux;kgCO2e/tonne;France continentale;50;923;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Verres creux / verres d'emballage;
élément non décomposé;Poste 9;Verre;/;recyclé;Verre,verre d'emballage,verre creux;kgCO2e/tonne;France continentale;50;409;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Verres creux / verres d'emballage;
élément non décomposé;Poste 9;Verre;technique :optique et électronique;neuf;Verre;kgCO2e/kg;France continentale;20;3,67;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Autres verres;
élément non décomposé;Poste 9;Verre;technique :optique et électronique;recyclé;Verre;kgCO2e/kg;France continentale;20;3,67;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Autres verres;
élément décomposé par gaz;Poste 9;Verre d'emballage;/;/;base IMPACT,Verre,verre d'emballage,verre creux;kgCO2e/kg;Europe;;0,813;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Verres creux / verres d'emballage;
élément décomposé par gaz;Poste 9;Verre plat à motifs;/;/;base IMPACT,Verre,verre plat;kgCO2e/kg;Europe;;1,18;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Verres plats;
élément décomposé par gaz;Poste 9;Verre plat au plomb / cristal;/;/;base IMPACT,Verre,verre plat;kgCO2e/kg;Europe;;1,86;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Verres plats;
élément décomposé par gaz;Poste 9;Verre plat courbé;/;/;base IMPACT,Verre,verre plat;kgCO2e/kg;Europe;;2,41;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Verres plats;
élément décomposé par gaz;Poste 9;Verre plat de sécurité laminé;/;/;base IMPACT,Verre,verre plat;kgCO2e/kg;Europe;;3,52;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Verres plats;
élément décomposé par gaz;Poste 9;Verre plat flotté;/;/;base IMPACT,Verre,verre plat;kgCO2e/kg;Europe;;1,26;Achats de biens ; Produits minéraux non métalliques ; Verres et articles en verre ; Verres plats;
élément décomposé par poste et par gaz;Poste 10;Vidéo-projecteur;;;informatique,equipement,Vidéo-projecteur;kgCO2e/unité;France continentale;50;145;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément non décomposé;Poste 10;Voirie;de type TC1;béton armé;Voirie,béton armé,TC1;kgCO2e/m²;France continentale;15;85;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC1;bitume;Voirie,bitume,TC1;kgCO2e/m²;France continentale;15;15;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC1;Semi rigide;Voirie,TC1,Semi rigide;kgCO2e/m²;France continentale;15;40;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC2;béton armé;Voirie,béton armé,TC2;kgCO2e/m²;France continentale;15;87;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC2;bitume;Voirie,bitume,TC2;kgCO2e/m²;France continentale;15;20;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC2;Semi rigide;Voirie,Semi rigide,TC2;kgCO2e/m²;France continentale;15;45;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC3;béton armé;Voirie,béton armé,TC3;kgCO2e/m²;France continentale;15;92;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC3;bitume;Voirie,bitume,TC3;kgCO2e/m²;France continentale;15;25;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC3;Semi rigide;Voirie,Semi rigide,TC3;kgCO2e/m²;France continentale;15;45;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC4;béton armé;Voirie,béton armé,TC4;kgCO2e/m²;France continentale;15;100;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC4;bitume;Voirie,bitume,TC4;kgCO2e/m²;France continentale;15;28;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC4;Semi rigide;Voirie,Semi rigide,TC4;kgCO2e/m²;France continentale;15;54;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC5;béton armé;Voirie,béton armé,TC5;kgCO2e/m²;France continentale;15;105;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC5;bitume;Voirie,bitume,TC5;kgCO2e/m²;France continentale;15;32;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC5;Semi rigide;Voirie,Semi rigide,TC5;kgCO2e/m²;France continentale;15;57;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC6;béton armé;Voirie,béton armé,TC6;kgCO2e/m²;France continentale;15;115;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC6;bitume;Voirie,bitume,TC6;kgCO2e/m²;France continentale;15;37;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC6;Semi rigide;Voirie,Semi rigide,TC6;kgCO2e/m²;France continentale;15;60;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC7;béton armé;Voirie,béton armé,TC7;kgCO2e/m²;France continentale;15;125;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC7;bitume;Voirie,bitume,TC7;kgCO2e/m²;France continentale;15;40;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément non décomposé;Poste 10;Voirie;de type TC7;Semi rigide;Voirie,Semi rigide,TC7;kgCO2e/m²;France continentale;15;65;Achats de biens ; Bâtiments, ouvrages d'art et voirie ; Voirie ; Structure de la voirie;
élément décomposé par poste;Postes 13 et 23;Voiture;Motorisation E85;2018;voiture,Motorisation E85;kgCO2e/km;France continentale;60;0,147;Transport de personnes ; Routier ; Voiture particulière ; Moyenne parc - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture;Motorisation essence;2018;voiture,Motorisation essence;kgCO2e/km;France continentale;60;0,223;Transport de personnes ; Routier ; Voiture particulière ; Moyenne parc - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture;Motorisation gazole;2018;voiture,Motorisation gazole;kgCO2e/km;France continentale;60;0,212;Transport de personnes ; Routier ; Voiture particulière ; Moyenne parc - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture;Motorisation GNV;2018;voiture,Motorisation GNV;kgCO2e/km;France continentale;60;0,221;Transport de personnes ; Routier ; Voiture particulière ; Moyenne parc - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture;Motorisation GPL;2018;voiture,Motorisation GPL;kgCO2e/km;France continentale;60;0,217;Transport de personnes ; Routier ; Voiture particulière ; Moyenne parc - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture;Motorisation moyenne;2018;voiture,Motorisation moyenne;kgCO2e/km;France continentale;60;0,218;Transport de personnes ; Routier ; Voiture particulière ; Moyenne parc - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture E85;Courte distance;2018;voiture,Courte distance;kgCO2e/passager.km;France continentale;60;0,116;Transport de personnes ; Routier ; Voiture particulière ; Par usage :courte distance, longue distance, mixte - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture E85;Longue distance;2018;voiture,Longue distance;kgCO2e/passager.km;France continentale;60;0,0764;Transport de personnes ; Routier ; Voiture particulière ; Par usage :courte distance, longue distance, mixte - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture E85;Mixte;2018;voiture,Mixte;kgCO2e/passager.km;France continentale;60;0,101;Transport de personnes ; Routier ; Voiture particulière ; Par usage :courte distance, longue distance, mixte - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture essence;Courte distance;2018;voiture,Courte distance;kgCO2e/passager.km;France continentale;60;0,175;Transport de personnes ; Routier ; Voiture particulière ; Par usage :courte distance, longue distance, mixte - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture essence;Longue distance;2018;voiture,Longue distance;kgCO2e/passager.km;France continentale;60;0,109;Transport de personnes ; Routier ; Voiture particulière ; Par usage :courte distance, longue distance, mixte - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture essence;Mixte;2018;voiture,Mixte;kgCO2e/passager.km;France continentale;60;0,149;Transport de personnes ; Routier ; Voiture particulière ; Par usage :courte distance, longue distance, mixte - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture gazole;Courte distance;2018;voiture,Courte distance;kgCO2e/passager.km;France continentale;60;0,165;Transport de personnes ; Routier ; Voiture particulière ; Par usage :courte distance, longue distance, mixte - toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Voiture gazole;Longue distance;2018;voiture,Longue distance;kgCO2e/passager.km;France continentale;60;0,105;Transport de personnes ; Routier ; Voiture particulière ; Par usage :courte distance, longue distance, mixte - toutes motorisations;
